"tel","fax","fiokKod","megjegyzes","openingHours__001","openingHours__002","openingHours__003","openingHours__004","openingHours__005","openingHours__006","openingHours__007","specialServices__001","specialServices__002","specialServices__003","specialServices__004","address","type","baliInfo__terheltseg","baliInfo__szoveg","baliInfo__fiokKod","servicesCorp__001","servicesCorp__002","servicesCorp__003","servicesCorp__004","servicesCorp__005","servicesCorp__006","servicesCorp__007","servicesCorp__008","servicesCorp__009","servicesCorp__010","servicesCorp__011","servicesCorp__012","servicesCorp__013","servicesPub__001","servicesPub__002","servicesPub__003","servicesPub__004","servicesPub__005","servicesPub__006","servicesPub__007","servicesPub__008","servicesPub__009","servicesPub__010","servicesPub__011","servicesPub__012","servicesPub__013","servicesPub__014","servicesPub__015","servicesPub__016","zipCode","town","lat","lng"
"(1) 3666-388","(1) 231-2119","0400","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Erzsébet utca 50.  ","FIOK","null","null","0400","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","OTP „MFB Pontok"" által kínált hitelek","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","OTP „MFB Pontok"" által kínált hitelek","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","1041","Budapest","47.560472","19.094618"
"(1) 3666-388","(1) 461-2064","0700","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Gyermekbarát bankfiók","Free WiFi","","Oktogon tér 3.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0700","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1066","Budapest","47.505231","19.063865"
"(1) 3666-388","(1) 436-7799","0305","","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Szentendrei utca 115. (Auchan) ","FIOK","null","null","0305","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1033","Budapest","47.560008","19.047229"
"(1) 3666-388","(1) 479-5129","1205","Forgalmazott valuták: EUR HRK USD ","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","","","Akadálymentes bankfiók","Gyermekbarát bankfiók","Free WiFi","","Alkotás utca 53  ","FIOK","null","null","1205","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1123","Budapest","47.490675","19.024109"
"(1) 3666-388","(1) 219-0676","1008","Forgalmazott valuták: EUR USD ","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Örs vezér tere 25/A aluljárószint ÁRKÁD OTP Bankfiók ","FIOK","null","null","1008","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1106","Budapest","47.50247","19.13695"
"(1) 3666-388","(1) 322-0076","0702","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Király utca 49.  ","FIOK","null","null","0702","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1077","Budapest","47.501808","19.062374"
"(1) 3666-388","(1) 402-2075","1601","","7:45 - 17:00","7:45 - 16:00","7:45 - 14:30","8:45 - 16:00","7:45 - 14:30","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Rákosi út 118.  ","FIOK","null","null","1601","Kisvállalkozások forint számlavezetése, bankkártyák","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1161","Budapest","47.521402","19.167718"
"(1) 3666-388","(1) 214-4748; 487-3082","0101","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Iskola utca 38-42.  ","FIOK","null","null","0101","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1011","Budapest","47.505926","19.036866"
"(1) 3666-388","(1) 250-1810","0300","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Flórián tér 15.  ","FIOK","null","null","0300","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","OTP „MFB Pontok"" által kínált hitelek","Közép- és nagyvállalatok számlavezetése, bankkártyák","Közép- és nagyvállalatok finanszírozása","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","OTP „MFB Pontok"" által kínált hitelek","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1033","Budapest","47.540484","19.042612"
"(1) 3666-388","(1) 317-2101","0501","Forgalmazott valuták: BGN EUR HRK PLN RON RSD RUB USD ","8:30 - 18:00","8:30 - 17:00","8:30 - 17:00","8:30 - 17:00","8:30 - 15:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Nádor utca 6.  ","FIOK","null","null","0501","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1051","Budapest","47.499672","19.049538"
"(1) 3666-388","(1) 366-2746","0900","Forgalmazott valuták: EUR HRK USD ","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","9:00 - 19:00","10:00 - 14:00","","Akadálymentes bankfiók","Gyermekbarát bankfiók","Free WiFi","","Futó utca 35-45 Corvin Pláza ","FIOK","null","null","0900","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1083","Budapest","47.486211","19.074642"
"(1) 3666-388","(1) 238-7236","1308","Hétköznap 17 óra után, illetve szombaton ügyelet; Forgalmazott valuták: EUR USD ","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 19:00","10:00 - 14:00","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Váci út 1-3. (Westend City Center) ","FIOK","null","null","1308","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1062","Budapest","47.512563","19.058275"
"(1) 3666-388","(1) 345-7427","0204","Forgalmazott valuták: EUR HRK USD ","8:30 - 18:00","8:30 - 17:00","8:30 - 17:00","8:30 - 17:00","8:30 - 17:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Fény utca 11-13.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0204","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1024","Budapest","47.509191","19.024651"
"(1) 3666-388","(1) 422-4370","1401","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Fogarasi út 15/b.  ","FIOK","null","null","1401","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Széf  szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Széf  szolgáltatás","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1149","Budapest","47.503495","19.119168"
"(1) 3666-388","(1) 323-2350","0909","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Soroksári út 32-34. (Haller kert) ","FIOK","null","null","0909","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1095","Budapest","47.475256","19.07149"
"(1) 3666-388","(1) 328-4025","0905","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kálvin tér 12-13.  ","FIOK","null","null","0905","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","1085","Budapest","47.489732","19.061773"
"(1) 3666-388","(1) 421-4687","2000","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kossuth Lajos utca 44-46.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","2000","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1204","Budapest","47.438695","19.10458"
"(1) 3666-388","(1) 317-5222","0804","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","József krt. 53.  ","FIOK","null","null","0804","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott, részben akadálymentes","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott, részben akadálymentes","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1085","Budapest","47.489637","19.070579"
"(1) 3666-388","(1) 421-4922","2002","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Bíró Mihály utca 7.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","2002","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1203","Budapest","47.437604","19.099604"
"(1) 3666-388","(1) 469-1573","1400","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Nagy Lajos király útja 19-21.  ","FIOK","null","null","1400","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","OTP „MFB Pontok"" által kínált hitelek","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","OTP „MFB Pontok"" által kínált hitelek","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1148","Budapest","47.507706","19.132033"
